id,title,authors,categories,abstract,created,updated
http://arxiv.org/abs/1805.08355v1,Opening the black box of deep learning,"Dian Lei,Xiaoxiao Chen,Jianfei Zhao",,"  The great success of deep learning shows that its technology contains
profound truth, and understanding its internal mechanism not only has important
implications for the development of its technology and effective application in
various fields, but also provides meaningful insights into the understanding of
human brain mechanism. At present, most of the theoretical research on deep
learning is based on mathematics. This dissertation proposes that the neural
network of deep learning is a physical system, examines deep learning from
three different perspectives: microscopic, macroscopic, and physical world
views, answers multiple theoretical puzzles in deep learning by using physics
principles. For example, from the perspective of quantum mechanics and
statistical physics, this dissertation presents the calculation methods for
convolution calculation, pooling, normalization, and Restricted Boltzmann
Machine, as well as the selection of cost functions, explains why deep learning
must be deep, what characteristics are learned in deep learning, why
Convolutional Neural Networks do not have to be trained layer by layer, and the
limitations of deep learning, etc., and proposes the theoretical direction and
basis for the further development of deep learning now and in the future. The
brilliance of physics flashes in deep learning, we try to establish the deep
learning technology based on the scientific theory of physics.
",2018-05-22T02:12:33Z,2018-05-22T02:12:33Z
http://arxiv.org/abs/1806.01756v1,Concept-Oriented Deep Learning,Daniel T Chang,,"  Concepts are the foundation of human deep learning, understanding, and
knowledge integration and transfer. We propose concept-oriented deep learning
(CODL) which extends (machine) deep learning with concept representations and
conceptual understanding capability. CODL addresses some of the major
limitations of deep learning: interpretability, transferability, contextual
adaptation, and requirement for lots of labeled training data. We discuss the
major aspects of CODL including concept graph, concept representations, concept
exemplars, and concept representation learning systems supporting incremental
and continual learning.
",2018-06-05T15:50:30Z,2018-06-05T15:50:30Z
http://arxiv.org/abs/1908.02130v1,"Deep learning research landscape & roadmap in a nutshell: past, present
  and future -- Towards deep cortical learning",Aras R. Dargazany,,"  The past, present and future of deep learning is presented in this work.
Given this landscape & roadmap, we predict that deep cortical learning will be
the convergence of deep learning & cortical learning which builds an artificial
cortical column ultimately.
",2019-07-30T16:57:38Z,2019-07-30T16:57:38Z
http://arxiv.org/abs/1812.05448v4,A First Look at Deep Learning Apps on Smartphones,"Mengwei Xu,Jiawei Liu,Yuanqiang Liu,Felix Xiaozhu Lin,Yunxin Liu,Xuanzhe Liu",,"  We are in the dawn of deep learning explosion for smartphones. To bridge the
gap between research and practice, we present the first empirical study on
16,500 the most popular Android apps, demystifying how smartphone apps exploit
deep learning in the wild. To this end, we build a new static tool that
dissects apps and analyzes their deep learning functions. Our study answers
threefold questions: what are the early adopter apps of deep learning, what do
they use deep learning for, and how do their deep learning models look like.
Our study has strong implications for app developers, smartphone vendors, and
deep learning R\&D. On one hand, our findings paint a promising picture of deep
learning for smartphones, showing the prosperity of mobile deep learning
frameworks as well as the prosperity of apps building their cores atop deep
learning. On the other hand, our findings urge optimizations on deep learning
models deployed on smartphones, the protection of these models, and validation
of research ideas on these models.
",2018-11-08T07:59:23Z,2021-01-13T01:29:33Z
http://arxiv.org/abs/1705.03921v1,Why & When Deep Learning Works: Looking Inside Deep Learnings,Ronny Ronen,,"  The Intel Collaborative Research Institute for Computational Intelligence
(ICRI-CI) has been heavily supporting Machine Learning and Deep Learning
research from its foundation in 2012. We have asked six leading ICRI-CI Deep
Learning researchers to address the challenge of ""Why & When Deep Learning
works"", with the goal of looking inside Deep Learning, providing insights on
how deep networks function, and uncovering key observations on their
expressiveness, limitations, and potential. The output of this challenge
resulted in five papers that address different facets of deep learning. These
different facets include a high-level understating of why and when deep
networks work (and do not work), the impact of geometry on the expressiveness
of deep networks, and making deep networks interpretable.
",2017-05-10T18:52:26Z,2017-05-10T18:52:26Z
http://arxiv.org/abs/1901.02354v2,"Geometrization of deep networks for the interpretability of deep
  learning systems","Xiao Dong,Ling Zhou",,"  How to understand deep learning systems remains an open problem. In this
paper we propose that the answer may lie in the geometrization of deep
networks. Geometrization is a bridge to connect physics, geometry, deep network
and quantum computation and this may result in a new scheme to reveal the rule
of the physical world. By comparing the geometry of image matching and deep
networks, we show that geometrization of deep networks can be used to
understand existing deep learning systems and it may also help to solve the
interpretability problem of deep learning systems.
",2019-01-06T14:32:45Z,2019-01-13T17:20:05Z
http://arxiv.org/abs/2010.05125v2,Learning Task-aware Robust Deep Learning Systems,"Keji Han,Yun Li,Xianzhong Long,Yao Ge",,"  Many works demonstrate that deep learning system is vulnerable to adversarial
attack. A deep learning system consists of two parts: the deep learning task
and the deep model. Nowadays, most existing works investigate the impact of the
deep model on robustness of deep learning systems, ignoring the impact of the
learning task. In this paper, we adopt the binary and interval label encoding
strategy to redefine the classification task and design corresponding loss to
improve robustness of the deep learning system. Our method can be viewed as
improving the robustness of deep learning systems from both the learning task
and deep model. Experimental results demonstrate that our learning task-aware
method is much more robust than traditional classification while retaining the
accuracy.
",2020-10-11T01:06:49Z,2021-12-02T02:39:50Z
http://arxiv.org/abs/1805.04825v1,Deep Learning in Software Engineering,"Xiaochen Li,He Jiang,Zhilei Ren,Ge Li,Jingxuan Zhang",,"  Recent years, deep learning is increasingly prevalent in the field of
Software Engineering (SE). However, many open issues still remain to be
investigated. How do researchers integrate deep learning into SE problems?
Which SE phases are facilitated by deep learning? Do practitioners benefit from
deep learning? The answers help practitioners and researchers develop practical
deep learning models for SE tasks. To answer these questions, we conduct a
bibliography analysis on 98 research papers in SE that use deep learning
techniques. We find that 41 SE tasks in all SE phases have been facilitated by
deep learning integrated solutions. In which, 84.7% papers only use standard
deep learning models and their variants to solve SE problems. The
practicability becomes a concern in utilizing deep learning techniques. How to
improve the effectiveness, efficiency, understandability, and testability of
deep learning based solutions may attract more SE researchers in the future.
",2018-05-13T06:01:39Z,2018-05-13T06:01:39Z
http://arxiv.org/abs/1901.09388v2,Moving Deep Learning into Web Browser: How Far Can We Go?,"Yun Ma,Dongwei Xiang,Shuyu Zheng,Deyu Tian,Xuanzhe Liu",,"  Recently, several JavaScript-based deep learning frameworks have emerged,
making it possible to perform deep learning tasks directly in browsers.
However, little is known on what and how well we can do with these frameworks
for deep learning in browsers. To bridge the knowledge gap, in this paper, we
conduct the first empirical study of deep learning in browsers. We survey 7
most popular JavaScript-based deep learning frameworks, investigating to what
extent deep learning tasks have been supported in browsers so far. Then we
measure the performance of different frameworks when running different deep
learning tasks. Finally, we dig out the performance gap between deep learning
in browsers and on native platforms by comparing the performance of
TensorFlow.js and TensorFlow in Python. Our findings could help application
developers, deep-learning framework vendors and browser vendors to improve the
efficiency of deep learning in browsers.
",2019-01-27T14:54:51Z,2019-03-24T06:44:08Z
http://arxiv.org/abs/1602.00203v1,Greedy Deep Dictionary Learning,"Snigdha Tariyal,Angshul Majumdar,Richa Singh,Mayank Vatsa",,"  In this work we propose a new deep learning tool called deep dictionary
learning. Multi-level dictionaries are learnt in a greedy fashion, one layer at
a time. This requires solving a simple (shallow) dictionary learning problem,
the solution to this is well known. We apply the proposed technique on some
benchmark deep learning datasets. We compare our results with other deep
learning tools like stacked autoencoder and deep belief network; and state of
the art supervised dictionary learning tools like discriminative KSVD and label
consistent KSVD. Our method yields better results than all.
",2016-01-31T06:12:58Z,2016-01-31T06:12:58Z
